Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound InChIKey,Compound Broad Identifier,Control Type,Quality Control,Channels,Percentage Inhibition (DPC),Hit Compound (over 75% activity),Phenotype Annotation Level,Number of Cells (DPC)
ESP0025769,A11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,dihydrotachysterol,CC(C)C(C)\C=C\C(C)C1CCC2C1(C)CCC\C2=C/C=C1\CC(O)CCC1C,"(3E)-3-[(2E)-2-[7a-methyl-1-[(E)-1,4,5-trimethylhex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methyl-cyclohexanol",,,https://www.ebi.ac.uk/unichem/rest/inchikey/ILYCWAKSDCYMBB-CEQNRCNESA-N,ILYCWAKSDCYMBB-CEQNRCNESA-N,BRD-A34455052-001-01-8,,pass,cell body,"3,55",no,well level,7312
ESP0025769,A12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"-3,07",control,well level,6089
ESP0025769,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,GW-3965,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,"3-[3-[[[2-Chloro-3-(trifluoromethyl)phenyl]methyl](2,2-diphenylethyl)amino]propoxy]benzeneacetic acid hydrochloride",72199895,https://pubchem.ncbi.nlm.nih.gov/compound/72199895,https://www.ebi.ac.uk/unichem/rest/inchikey/NAXSRXHZFIBFMI-UHFFFAOYSA-N,NAXSRXHZFIBFMI-UHFFFAOYSA-N,"BRD-K33818169-003-05-3,BRD-K33818169-003-04-6,BRD-K33818169-003-06-9,BRD-K33818169-003-03-8",,pass,cell body,"-4,18",no,well level,5883
ESP0025769,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,GS-143,O=C(O)c1ccc(N2N=C(Cc3ccccc3)/C(=C\c3ccc(-c4ccccc4F)o3)C2=O)cc1,"4-[4-[[5-(2-Fluorophenyl)-2-furanyl]methylene]-4,5-dihydro-5-oxo-3-(phenylmethyl)-1H-pyrazol-1-yl]benzoic acid",121513876,https://pubchem.ncbi.nlm.nih.gov/compound/121513876,https://www.ebi.ac.uk/unichem/rest/inchikey/IZPMWFSVTDOCDI-HAVVHWLPSA-N,IZPMWFSVTDOCDI-HAVVHWLPSA-N,"BRD-K99916169-001-01-9,BRD-K99916169-001-02-9",,pass,cell body,"17,16",no,well level,9824
ESP0025769,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,cilnidipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,"1,4-Dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid 2-methoxyethyl (2E)-3-phenyl-2-propenyl ester",5282138,https://pubchem.ncbi.nlm.nih.gov/compound/5282138,https://www.ebi.ac.uk/unichem/rest/inchikey/KJEBULYHNRNJTE-DHZHZOJOSA-N,KJEBULYHNRNJTE-DHZHZOJOSA-N,,,pass,cell body,"31,63",no,well level,12497
ESP0025769,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,HTH-01-015,Cc1nc(Nc2cnn(C3CCNCC3)c2)nc2c1N(C)C(=O)c1cc3ccccc3cc1N2C,"5,13-Dihydro-4,5,13-trimethyl-2-[[1-(4-piperidinyl)-1H-pyrazol-4-yl]amino]-6H-naphtho[2,3-e]pyrimido[5,4-b][1,4]diazepin-6-one",78357766,https://pubchem.ncbi.nlm.nih.gov/compound/78357766,https://www.ebi.ac.uk/unichem/rest/inchikey/CHSDJDLAKKAWCI-UHFFFAOYSA-N,CHSDJDLAKKAWCI-UHFFFAOYSA-N,"BRD-K58726989-001-01-9,BRD-K58726989-001-02-7",,pass,cell body,"37,2",no,well level,13526
ESP0025769,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,cloprostenol-(+/-),O=C([O-])CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1,"(5Z)-rel-7-[(1R,2R,3R,5S)-2-[(1E,3R)-4-(3-chlorophenoxy)-3-hydroxy-1-butenyl]-3,5-dihydroxycyclopentyl]-5-heptenoic acid monosodium salt",5311053,https://pubchem.ncbi.nlm.nih.gov/compound/5311053,https://www.ebi.ac.uk/unichem/rest/inchikey/VJGGHXVGBSZVMZ-QIZQQNKQSA-N,VJGGHXVGBSZVMZ-QIZQQNKQSA-N,BRD-K17850764-236-11-9,,pass,cell body,"25,29",no,well level,11327
ESP0025769,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,thymol,CC(C)C=1C=CC(C)=CC1O,5-methyl-2-(propan-2-yl)phenol,6989,https://pubchem.ncbi.nlm.nih.gov/compound/6989,https://www.ebi.ac.uk/unichem/rest/inchikey/MGSRCZKZVOBKFT-UHFFFAOYSA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,"BRD-K17458574-001-07-7,BRD-K17458574-001-08-9",,pass,cell body,"17,57",no,well level,9900
ESP0025769,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,xenalipin,OC(=O)C=1C=CC=CC1C=2C=CC(=CC2)C(F)(F)F,"4'-(trifluoromethyl)-[1,1'-biphenyl]-2-carboxylic acid",55251,https://pubchem.ncbi.nlm.nih.gov/compound/55251,https://www.ebi.ac.uk/unichem/rest/inchikey/IQOMYCGTGFGDFN-UHFFFAOYSA-N,IQOMYCGTGFGDFN-UHFFFAOYSA-N,BRD-K99506538-001-03-8,,pass,cell body,"6,1",no,well level,7782
ESP0025769,B8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,piketoprofen,CC(C(=O)NC=1C=C(C)C=CN1)C=2C=CC=C(C2)C(=O)C=3C=CC=CC3,2-(3-benzoylphenyl)-N-(4-methylpyridin-2-yl)propanamide,68571753,https://pubchem.ncbi.nlm.nih.gov/compound/68571753,https://www.ebi.ac.uk/unichem/rest/inchikey/ASFKKFRSMGBFRO-MRXNPFEDSA-N,ASFKKFRSMGBFRO-MRXNPFEDSA-N,"BRD-A85548292-001-01-8,BRD-A85548292-001-02-9",,pass,cell body,"13,52",no,well level,9152
ESP0025769,B9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,ALTHIAZIDE,NS(=O)(=O)c1cc2c(NC(CSCC=C)NS2(=O)=O)cc1Cl,"3-(allylsulfanylmethyl)-6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",6604323,https://pubchem.ncbi.nlm.nih.gov/compound/6604323,https://www.ebi.ac.uk/unichem/rest/inchikey/VGLGVJVUHYTIIU-LLVKDONJSA-N,VGLGVJVUHYTIIU-LLVKDONJSA-N,"BRD-A56675431-001-13-9,BRD-A56675431-001-12-3",,pass,cell body,"29,57",no,well level,12116
ESP0025769,B10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,creatine,CN(CC(O)=O)C(N)=N,2-[carbamimidoyl(methyl)amino]acetic acid,586,https://pubchem.ncbi.nlm.nih.gov/compound/586,https://www.ebi.ac.uk/unichem/rest/inchikey/CVSVTCORWBXHQV-UHFFFAOYSA-N,CVSVTCORWBXHQV-UHFFFAOYSA-N,BRD-K19615002-001-02-3,,pass,cell body,"41,68",no,well level,14352
ESP0025769,B11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,2-methoxyphenyl 2-(4-isobutylphenyl)propanoate,CC(C)(C)c1cc(ccc1(O))OC(=O)c2cccs2,2-methoxyphenyl 2-(4-isobutylphenyl)propanoate,836891,https://pubchem.ncbi.nlm.nih.gov/compound/836891,https://www.ebi.ac.uk/unichem/rest/inchikey/FVRWRGBTEHAPDI-HNNXBMFYSA-N,FVRWRGBTEHAPDI-HNNXBMFYSA-N,BRD-A71725768-001-01-3,,pass,cell body,"10,05",no,well level,8512
ESP0025769,B12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"0,64",control,well level,6774
ESP0025769,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,ryuvidine,Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,"2-Methyl-5-[(4-methylphenyl)amino]-4,7-benzothiazoledione",481747,https://pubchem.ncbi.nlm.nih.gov/compound/481747,https://www.ebi.ac.uk/unichem/rest/inchikey/HFPLHASLIOXVGS-UHFFFAOYSA-N,HFPLHASLIOXVGS-UHFFFAOYSA-N,"BRD-K06426971-001-02-7,BRD-K06426971-001-04-9,BRD-K06426971-001-03-5",,pass,cell body,"-3,21",no,well level,6063
ESP0025769,C2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,vesamicol,O[C@@H]1CCCC[C@H]1N1CCC(CC1)c1ccccc1,"(1R,2R)-2-(4-phenyl-1-piperidyl)cyclohexanol",659840,https://pubchem.ncbi.nlm.nih.gov/compound/659840,https://www.ebi.ac.uk/unichem/rest/inchikey/YSSBJODGIYRAMI-IAGOWNOFSA-N,YSSBJODGIYRAMI-IAGOWNOFSA-N,"BRD-K14765469-003-13-0,BRD-K14765469-003-14-9,BRD-K14765469-003-12-2",,pass,cell body,"19,41",no,well level,10241
ESP0025769,C3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,BIBX-1382,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,"N8-(3-Chloro-4-fluorophenyl)-N2-(1-methyl-4-piperidinyl)-pyrimido[5,4-d]pyrimidine-2,8-diamine dihydrochloride",6918508,https://pubchem.ncbi.nlm.nih.gov/compound/6918508,https://www.ebi.ac.uk/unichem/rest/inchikey/FTFRZXFNZVCRSK-UHFFFAOYSA-N,FTFRZXFNZVCRSK-UHFFFAOYSA-N,"BRD-K70914287-300-02-8,BRD-K70914287-300-04-9,BRD-K70914287-300-03-6",,pass,cell body,"54,28",no,well level,16679
ESP0025769,C4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,"(+/-)-exo,exo-2,3-camphanediol",CC1(C)[C@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O,"(1R,2S,3R,4R)-1,7,7-trimethylnorbornane-2,3-diol",11768995,https://pubchem.ncbi.nlm.nih.gov/compound/11768995,https://www.ebi.ac.uk/unichem/rest/inchikey/AYEOSGBMQHXVER-DQUBFYRCSA-N,AYEOSGBMQHXVER-DQUBFYRCSA-N,BRD-K44602126-001-01-3,,pass,cell body,"15,49",no,well level,9516
ESP0025769,C5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,N-(4-carboxyphenyl)-alpha-D-mannopyranosylamine,OCC1OC(Nc2ccc(cc2)C(=O)O)C(O)C(O)C1O,"4-[[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]amino]benzoic acid",40510055,https://pubchem.ncbi.nlm.nih.gov/compound/40510055,https://www.ebi.ac.uk/unichem/rest/inchikey/VXMVXDITZWJXJN-LDMBFOFVSA-N,VXMVXDITZWJXJN-LDMBFOFVSA-N,BRD-A45906415-001-01-9,,pass,cell body,"46,57",no,well level,15256
ESP0025769,C6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,picartamide,CNC(=S)C1(CCCS1)C=2C=CC=CN2,N-methyl-2-(pyridin-2-yl)thiolane-2-carbothioamide,76960918,https://pubchem.ncbi.nlm.nih.gov/compound/76960918,https://www.ebi.ac.uk/unichem/rest/inchikey/ITNLONMDUMHEOK-NSHDSACASA-N,ITNLONMDUMHEOK-NSHDSACASA-N,BRD-A71765060-001-01-4,,pass,cell body,"41,77",no,well level,14370
ESP0025769,C7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,metirosine,C[C@](N)(CC=1C=CC(O)=CC1)C(=O)O,(2S)-2-amino-3-(4-hydroxyphenyl)-2-methylpropanoic acid,6918925,https://pubchem.ncbi.nlm.nih.gov/compound/6918925,https://www.ebi.ac.uk/unichem/rest/inchikey/NHTGHBARYWONDQ-JTQLQIEISA-N,NHTGHBARYWONDQ-JTQLQIEISA-N,"BRD-K83766205-001-04-9,BRD-K83766205-001-03-8",,pass,cell body,"47,3",no,well level,15390
ESP0025769,C8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,3-bromocamphor,CC1(C)C2CCC1(C)C(=O)C2Br,"3-bromo-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",6438,https://pubchem.ncbi.nlm.nih.gov/compound/6438,https://www.ebi.ac.uk/unichem/rest/inchikey/NJQADTYRAYFBJN-UHFFFAOYSA-N,NJQADTYRAYFBJN-UHFFFAOYSA-N,,,pass,cell body,"35,91",no,well level,13288
ESP0025769,C9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,PHENOLSULFONPHTHALEIN,Oc1ccc(cc1)C1(OS(=O)(=O)c2ccccc12)c1ccc(O)cc1,"4-[3-(4-hydroxyphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]phenol",4766,https://pubchem.ncbi.nlm.nih.gov/compound/4766,https://www.ebi.ac.uk/unichem/rest/inchikey/BELBBZDIHDAJOR-UHFFFAOYSA-N,BELBBZDIHDAJOR-UHFFFAOYSA-N,"BRD-K79892937-236-04-9,BRD-K79892937-001-02-5",,pass,cell body,"43,97",no,well level,14775
ESP0025769,C10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,niceritrol,O=C(OCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1)c1cccnc1,"[3-(pyridine-3-carbonyloxy)-2,2-bis(pyridine-3-carbonyloxymethyl)propyl] pyridine-3-carboxylate",4476,https://pubchem.ncbi.nlm.nih.gov/compound/4476,https://www.ebi.ac.uk/unichem/rest/inchikey/KUEUWHJGRZKESU-UHFFFAOYSA-N,KUEUWHJGRZKESU-UHFFFAOYSA-N,BRD-K11256763-001-01-5,,pass,cell body,"46,14",no,well level,15176
ESP0025769,C11,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,erteberel,OC1=CC2=C(C=C1)O[C@@H](C3=CC=C(O)C=C3)[C@]4([H])[C@@]2([H])CCC4,"(3aS,4R,9bR)-4-(4-hydroxyphenyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol",10286159,https://pubchem.ncbi.nlm.nih.gov/compound/10286159,https://www.ebi.ac.uk/unichem/rest/inchikey/XIESSJVMWNJCGZ-VKJFTORMSA-N,XIESSJVMWNJCGZ-VKJFTORMSA-N,BRD-K80608265-001-01-6,,pass,cell body,"2,54",no,well level,7124
ESP0025769,C12,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,,,,,,,,,positive,pass,cell body,"-1,72",control,well level,6339
ESP0025769,D1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,WDR5-0103,COC(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)c2cccc(OC)c2)c1,3-[(3-Methoxybenzoyl)amino]-4-(4-methyl-1-piperazinyl)benzoic acid methyl ester,6457069,https://pubchem.ncbi.nlm.nih.gov/compound/6457069,https://www.ebi.ac.uk/unichem/rest/inchikey/ZPLBXOVTSNRBFB-UHFFFAOYSA-N,ZPLBXOVTSNRBFB-UHFFFAOYSA-N,"BRD-K47726410-001-01-2,BRD-K47726410-001-02-0",,pass,cell body,"1,38",no,well level,6910
ESP0025769,D2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,CGS-20625,COc1ccc(-n2nc3c4c([nH]cc-3c2=O)CCCCC4)cc1,"5,6,7,8,9,10-Hexahydro-2-(4-methoxyphenyl)cyclohepta[b]pyrazolo[3,4-d]pyridin-3(2H)-one",163844,https://pubchem.ncbi.nlm.nih.gov/compound/163844,https://www.ebi.ac.uk/unichem/rest/inchikey/UBLXQFIFWUEVGJ-UHFFFAOYSA-N,UBLXQFIFWUEVGJ-UHFFFAOYSA-N,"BRD-K68103045-001-03-7,BRD-K68103045-001-02-9,BRD-K68103045-001-04-9",,pass,cell body,"31,21",no,well level,12419
ESP0025769,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,"1-(4-fluorophenyl)-4-(3,4,5-trimethoxybenzyl)piperazine",COc1cc(CN2CCN(CC2)c3ccc(F)cc3)cc(OC)c1OC,"1-(4-fluorophenyl)-4-[(3,4,5-trimethoxyphenyl)methyl]piperazine",1376860,https://pubchem.ncbi.nlm.nih.gov/compound/1376860,https://www.ebi.ac.uk/unichem/rest/inchikey/KKCOGNFFBYOKMA-UHFFFAOYSA-N,KKCOGNFFBYOKMA-UHFFFAOYSA-N,BRD-K75052463-001-01-4,,pass,cell body,"25,14",no,well level,11298
