Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Identifier,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound Broad Identifier,Control Type,Channels,Compound Concentration (microMolar),Percentage Inhibition (DPC),Cells - Number of Objects,Hit Compound (over 75% activity),Phenoptye Annotation Level
ESP0025712,A11,,,,,,,,,,,,,,,,,,positive,cell body,0,"-9,2",6518,,
ESP0025712,A12,,,,,,,,,,,,,,,,,,negative,cell body,0,"101,1",29406,,
ESP0025712,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K82795137,LORATADINE,CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(15),3(8),4,6,11,13-hexaen-2-ylidene)piperidine-1-carboxylate",3957,https://pubchem.ncbi.nlm.nih.gov/compound/3957,https://www.ebi.ac.uk/unichem/rest/inchikey/JCCNYMKQOSZNPW-UHFFFAOYSA-N,"BRD-K82795137-001-28-8,BRD-K82795137-001-26-2,BRD-K82795137-001-24-7,BRD-K82795137-001-29-9,BRD-K82795137-001-25-4",,cell body,"6,3","-20,81",4110,yes,well level
ESP0025712,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K62996583,lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide",3926,https://pubchem.ncbi.nlm.nih.gov/compound/3926,https://www.ebi.ac.uk/unichem/rest/inchikey/ZBIAKUMOEKILTF-UHFFFAOYSA-N,"BRD-K62996583-001-11-9,BRD-K62996583-001-10-3",,cell body,"6,3","2,8",9008,yes,well level
ESP0025712,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K32218650,MBX-2982,CCC1=CN=C(N2CCC(C3=NC(COC4=CC=C(N5N=NN=C5)C=C4)=CS3)CC2)N=C1,2-[1-(5-ethylpyrimidin-2-yl)-4-piperidyl]-4-[[4-(tetrazol-1-yl)phenoxy]methyl]thiazole,25025505,https://pubchem.ncbi.nlm.nih.gov/compound/25025505,https://www.ebi.ac.uk/unichem/rest/inchikey/NFTMKHWBOINJGM-UHFFFAOYSA-N,"BRD-K32218650-001-01-6,BRD-K32218650-001-02-9",,cell body,"6,3",-4,7597,yes,well level
ESP0025712,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A41774846,algestone-acetophenide,CC(=O)[C@@]12OC(C)(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]21C)c1ccccc1,"(1R,2S,4R,8S,9S,12S,13R)-8-acetyl-6,9,13-trimethyl-6-phenyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-en-16-one",102011,https://pubchem.ncbi.nlm.nih.gov/compound/102011,https://www.ebi.ac.uk/unichem/rest/inchikey/AHBKIEXBQNRDNL-BXXPAUNWSA-N,,,cell body,"6,3","0,11",8451,yes,well level
ESP0025712,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K04568635,Octenidine Dihydrochloride,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,N-(1-[10-(4-(octylimino)-1(4H)-pyridinyl)decyl]-4(1H)-pyridinylidene)-1-octanamine,51167,https://pubchem.ncbi.nlm.nih.gov/compound/51167,https://www.ebi.ac.uk/unichem/rest/inchikey/ZVXNYZWXUADSRV-UHFFFAOYSA-N,BRD-K04568635-300-01-4,,cell body,"6,3","11,46",10806,yes,well level
ESP0025712,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K87909389,alvocidib,CN(CC3)C[C@@H](O)[C@H]3[C@]1=C(OC(C4=CC=CC=C4Cl)=CC2=O)C2=C(O)C=C1O,"2-(2-Chlorophenyl)-5,7-dihydroxy-8-[(3S,4R)-3-hydroxy-1-methyl-4-piperidinyl]-4H-1-benzopyran-4-one hydrochloride",5287969,https://pubchem.ncbi.nlm.nih.gov/compound/5287969,https://www.ebi.ac.uk/unichem/rest/inchikey/BIIVYFLTOXDAOV-YVEFUNNKSA-N,"BRD-K87909389-003-09-9,BRD-K87909389-003-04-2,BRD-K87909389-003-03-4",,cell body,"6,3","47,87",18361,yes,well level
ESP0025712,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K97152684,PD-161570,ClC1=CC=CC(Cl)=C1C3=CC2=CN=C(NCCCCN(CC)CC)N=C2N=C3NC(NC(C)(C)C)=O,"N-[6-(2,6-Dichlorophenyl)-2-[[4-(diethylamino)butyl]amino]pyrido[2,3-d]pyrimidin-7-yl]-N'-(1,1-dimethylethyl)urea",5328135,https://pubchem.ncbi.nlm.nih.gov/compound/5328135,https://www.ebi.ac.uk/unichem/rest/inchikey/MKVMEJKNLUWFSQ-UHFFFAOYSA-N,"BRD-K97152684-001-02-7,BRD-K97152684-001-01-9,BRD-K97152684-001-03-9",,cell body,"6,3","-20,29",4218,yes,well level
ESP0025712,B8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95573441,PFK-015,O=C(C1=CC=NC=C1)/C=C/C2=NC3=CC=CC=C3C=C2,(E)-1-(4-pyridyl)-3-(2-quinolyl)prop-2-en-1-one,25142799,https://pubchem.ncbi.nlm.nih.gov/compound/25142799,https://www.ebi.ac.uk/unichem/rest/inchikey/UJJUKZPBUMCSJZ-BQYQJAHWSA-N,"BRD-K95573441-001-02-0,BRD-K95573441-001-01-2",,cell body,"6,3","-1,92",8030,yes,well level
ESP0025712,B9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A39255369,DCPIB,CCCCC1(CC2=C(C1=O)C(Cl)=C(Cl)C(OCCCC(O)=O)=C2)C1CCCC1,"4-[(2-Butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy]butanoic acid",12761153,https://pubchem.ncbi.nlm.nih.gov/compound/12761153,https://www.ebi.ac.uk/unichem/rest/inchikey/KHKGTPJPBOQECW-QFIPXVFZSA-N,BRD-A39255369-001-03-1,,cell body,"6,3","0,43",8516,yes,well level
ESP0025712,B10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95292280,SB-657510,BrC1=CC(OC)=C(OC)C=C1S(NC2=CC=C(Cl)C(O[C@H]3CN(C)CC3)=C2)(=O)=O,"2-Bromo-N-[4-chloro-3-[[(3R)-1-methyl-3-pyrrolidinyl]oxy]phenyl]-4,5-dimethoxybenzenesulfonamide",11272107,https://pubchem.ncbi.nlm.nih.gov/compound/11272107,https://www.ebi.ac.uk/unichem/rest/inchikey/KQCZCINJGIRLCD-CYBMUJFWSA-N,"BRD-K95292280-001-02-1,BRD-K95292280-001-01-3,BRD-K95292280-001-03-9",,cell body,"6,3","18,44",12255,yes,well level
ESP0025712,B11,,,,,,,,,,,,,,,,,,positive,cell body,0,"0,37",8505,,
ESP0025712,B12,,,,,,,,,,,,,,,,,,negative,cell body,0,"102,75",29747,,
ESP0025712,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K82795137,LORATADINE,CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(15),3(8),4,6,11,13-hexaen-2-ylidene)piperidine-1-carboxylate",3957,https://pubchem.ncbi.nlm.nih.gov/compound/3957,https://www.ebi.ac.uk/unichem/rest/inchikey/JCCNYMKQOSZNPW-UHFFFAOYSA-N,"BRD-K82795137-001-28-8,BRD-K82795137-001-26-2,BRD-K82795137-001-24-7,BRD-K82795137-001-29-9,BRD-K82795137-001-25-4",,cell body,2,"-10,69",6210,yes,well level
ESP0025712,C2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K62996583,lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide",3926,https://pubchem.ncbi.nlm.nih.gov/compound/3926,https://www.ebi.ac.uk/unichem/rest/inchikey/ZBIAKUMOEKILTF-UHFFFAOYSA-N,"BRD-K62996583-001-11-9,BRD-K62996583-001-10-3",,cell body,2,"-3,85",7628,yes,well level
ESP0025712,C3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K32218650,MBX-2982,CCC1=CN=C(N2CCC(C3=NC(COC4=CC=C(N5N=NN=C5)C=C4)=CS3)CC2)N=C1,2-[1-(5-ethylpyrimidin-2-yl)-4-piperidyl]-4-[[4-(tetrazol-1-yl)phenoxy]methyl]thiazole,25025505,https://pubchem.ncbi.nlm.nih.gov/compound/25025505,https://www.ebi.ac.uk/unichem/rest/inchikey/NFTMKHWBOINJGM-UHFFFAOYSA-N,"BRD-K32218650-001-01-6,BRD-K32218650-001-02-9",,cell body,2,"10,95",10700,yes,well level
ESP0025712,C4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A41774846,algestone-acetophenide,CC(=O)[C@@]12OC(C)(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]21C)c1ccccc1,"(1R,2S,4R,8S,9S,12S,13R)-8-acetyl-6,9,13-trimethyl-6-phenyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-en-16-one",102011,https://pubchem.ncbi.nlm.nih.gov/compound/102011,https://www.ebi.ac.uk/unichem/rest/inchikey/AHBKIEXBQNRDNL-BXXPAUNWSA-N,,,cell body,2,"-18,44",4601,yes,well level
ESP0025712,C5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K04568635,Octenidine Dihydrochloride,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,N-(1-[10-(4-(octylimino)-1(4H)-pyridinyl)decyl]-4(1H)-pyridinylidene)-1-octanamine,51167,https://pubchem.ncbi.nlm.nih.gov/compound/51167,https://www.ebi.ac.uk/unichem/rest/inchikey/ZVXNYZWXUADSRV-UHFFFAOYSA-N,BRD-K04568635-300-01-4,,cell body,2,"54,33",19701,yes,well level
ESP0025712,C6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K87909389,alvocidib,CN(CC3)C[C@@H](O)[C@H]3[C@]1=C(OC(C4=CC=CC=C4Cl)=CC2=O)C2=C(O)C=C1O,"2-(2-Chlorophenyl)-5,7-dihydroxy-8-[(3S,4R)-3-hydroxy-1-methyl-4-piperidinyl]-4H-1-benzopyran-4-one hydrochloride",5287969,https://pubchem.ncbi.nlm.nih.gov/compound/5287969,https://www.ebi.ac.uk/unichem/rest/inchikey/BIIVYFLTOXDAOV-YVEFUNNKSA-N,"BRD-K87909389-003-09-9,BRD-K87909389-003-04-2,BRD-K87909389-003-03-4",,cell body,2,"48,33",18455,yes,well level
ESP0025712,C7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K97152684,PD-161570,ClC1=CC=CC(Cl)=C1C3=CC2=CN=C(NCCCCN(CC)CC)N=C2N=C3NC(NC(C)(C)C)=O,"N-[6-(2,6-Dichlorophenyl)-2-[[4-(diethylamino)butyl]amino]pyrido[2,3-d]pyrimidin-7-yl]-N'-(1,1-dimethylethyl)urea",5328135,https://pubchem.ncbi.nlm.nih.gov/compound/5328135,https://www.ebi.ac.uk/unichem/rest/inchikey/MKVMEJKNLUWFSQ-UHFFFAOYSA-N,"BRD-K97152684-001-02-7,BRD-K97152684-001-01-9,BRD-K97152684-001-03-9",,cell body,2,"-8,67",6628,yes,well level
ESP0025712,C8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95573441,PFK-015,O=C(C1=CC=NC=C1)/C=C/C2=NC3=CC=CC=C3C=C2,(E)-1-(4-pyridyl)-3-(2-quinolyl)prop-2-en-1-one,25142799,https://pubchem.ncbi.nlm.nih.gov/compound/25142799,https://www.ebi.ac.uk/unichem/rest/inchikey/UJJUKZPBUMCSJZ-BQYQJAHWSA-N,"BRD-K95573441-001-02-0,BRD-K95573441-001-01-2",,cell body,2,"-1,2",8178,yes,well level
ESP0025712,C9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A39255369,DCPIB,CCCCC1(CC2=C(C1=O)C(Cl)=C(Cl)C(OCCCC(O)=O)=C2)C1CCCC1,"4-[(2-Butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy]butanoic acid",12761153,https://pubchem.ncbi.nlm.nih.gov/compound/12761153,https://www.ebi.ac.uk/unichem/rest/inchikey/KHKGTPJPBOQECW-QFIPXVFZSA-N,BRD-A39255369-001-03-1,,cell body,2,"0,63",8558,yes,well level
ESP0025712,C10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95292280,SB-657510,BrC1=CC(OC)=C(OC)C=C1S(NC2=CC=C(Cl)C(O[C@H]3CN(C)CC3)=C2)(=O)=O,"2-Bromo-N-[4-chloro-3-[[(3R)-1-methyl-3-pyrrolidinyl]oxy]phenyl]-4,5-dimethoxybenzenesulfonamide",11272107,https://pubchem.ncbi.nlm.nih.gov/compound/11272107,https://www.ebi.ac.uk/unichem/rest/inchikey/KQCZCINJGIRLCD-CYBMUJFWSA-N,"BRD-K95292280-001-02-1,BRD-K95292280-001-01-3,BRD-K95292280-001-03-9",,cell body,2,"-0,08",8411,yes,well level
ESP0025712,C11,,,,,,,,,,,,,,,,,,positive,cell body,0,"0,97",8630,,
ESP0025712,C12,,,,,,,,,,,,,,,,,,negative,cell body,0,"102,02",29597,,
ESP0025712,D1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K82795137,LORATADINE,CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(15),3(8),4,6,11,13-hexaen-2-ylidene)piperidine-1-carboxylate",3957,https://pubchem.ncbi.nlm.nih.gov/compound/3957,https://www.ebi.ac.uk/unichem/rest/inchikey/JCCNYMKQOSZNPW-UHFFFAOYSA-N,"BRD-K82795137-001-28-8,BRD-K82795137-001-26-2,BRD-K82795137-001-24-7,BRD-K82795137-001-29-9,BRD-K82795137-001-25-4",,cell body,"0,63","-8,6",6644,yes,well level
ESP0025712,D2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K62996583,lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide",3926,https://pubchem.ncbi.nlm.nih.gov/compound/3926,https://www.ebi.ac.uk/unichem/rest/inchikey/ZBIAKUMOEKILTF-UHFFFAOYSA-N,"BRD-K62996583-001-11-9,BRD-K62996583-001-10-3",,cell body,"0,63","4,38",9336,yes,well level
ESP0025712,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K32218650,MBX-2982,CCC1=CN=C(N2CCC(C3=NC(COC4=CC=C(N5N=NN=C5)C=C4)=CS3)CC2)N=C1,2-[1-(5-ethylpyrimidin-2-yl)-4-piperidyl]-4-[[4-(tetrazol-1-yl)phenoxy]methyl]thiazole,25025505,https://pubchem.ncbi.nlm.nih.gov/compound/25025505,https://www.ebi.ac.uk/unichem/rest/inchikey/NFTMKHWBOINJGM-UHFFFAOYSA-N,"BRD-K32218650-001-01-6,BRD-K32218650-001-02-9",,cell body,"0,63","-0,1",8406,yes,well level
ESP0025712,D4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A41774846,algestone-acetophenide,CC(=O)[C@@]12OC(C)(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]21C)c1ccccc1,"(1R,2S,4R,8S,9S,12S,13R)-8-acetyl-6,9,13-trimethyl-6-phenyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-en-16-one",102011,https://pubchem.ncbi.nlm.nih.gov/compound/102011,https://www.ebi.ac.uk/unichem/rest/inchikey/AHBKIEXBQNRDNL-BXXPAUNWSA-N,,,cell body,"0,63","-11,57",6028,yes,well level
